original_feature,lime_weight,lime_impact,lime_direction
thal,0.2760928375941642,0.2760928375941642,increased risk
ca,0.2234057605380413,0.2234057605380413,increased risk
cp,0.21533405987630494,0.21533405987630494,increased risk
sex,0.19950530247555276,0.19950530247555276,increased risk
thalach,0.11848393414395787,0.11848393414395787,increased risk
slope,0.11781703379167602,0.11781703379167602,increased risk
oldpeak,0.0910514845934598,0.0910514845934598,increased risk
age,-0.07514710176138781,0.07514710176138781,decreased risk
exang,0.044365665912656664,0.044365665912656664,increased risk
restecg,0.02671881432133274,0.02671881432133274,increased risk
