feature,mean_abs_shap
cat__ca_0.0,0.847941106090744
cat__cp_4.0,0.6596599319894403
cat__sex_0.0,0.49676603289750454
num__age,0.45649459703815887
cat__thal_3.0,0.4427314279870832
num__oldpeak,0.36857944379834984
cat__thal_7.0,0.3478759131765901
cat__slope_2.0,0.33561152029492447
num__thalach,0.3040139381309825
num__chol,0.302904578073787
num__trestbps,0.217918387833414
cat__exang_0.0,0.1649600816707768
cat__slope_1.0,0.1377536613587958
cat__restecg_0.0,0.11720604756492053
cat__cp_3.0,0.10180183127800146
cat__ca_2.0,0.05150703085326881
cat__sex_1.0,0.041221286481108954
cat__cp_1.0,0.03562028237007803
cat__ca_1.0,0.017830532000048978
cat__fbs_0.0,0.017343690280084964
cat__restecg_2.0,0.010218946344093193
cat__exang_1.0,0.009773013200916232
cat__cp_2.0,0.008681523056670293
cat__fbs_1.0,0.006387942592598136
cat__thal_6.0,0.0036523083551618903
cat__restecg_1.0,0.0
cat__slope_3.0,0.0
cat__ca_3.0,0.0
